,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,year,month,group5,group4,group7,group6,group1,group3,group2
2629,"[36, 18]",Farinelli,/mF1PyZIJ2l3B3d2S41LrqjPL5Sc.jpg,10954.0,1.642957,"brother brother relationship,opera,eunuch,biography,dresden,opera singer",13.0,6.0,Gérard Corbiau,5306.0,15,1.0,1.0,1994.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5329,"[10752, 18, 28, 12, 36]",The Pacific,/xV7FKNqOwnO3aJSiRM8WCrwdRS8.jpg,189197.0,1.251895,"world war ii,mini-series,hbo",266.0,7.8,Jeremy Podeswa,73913.0,15,45.0,59.0,2010.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5358,"[36, 12, 18]",The Colossus of Rhodes,/7eQo6dj8B89BS1xC25UvJICia8f.jpg,43020.0,1.248371,"greek mythology,plot",20.0,6.1,Sergio Leone,1988.0,A,1.0,2.0,1961.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5843,"[10752, 12]",Against the Sun,/5QTdkyxsgOw276K87Pt7RhpN2vE.jpg,302828.0,1.209703,"survival,lifeboat,bombardier",46.0,6.4,Brian Falk,3594.0,12,3.0,7.0,2014.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1694,"[10752, 28, 18, 36]",The Heroes of Telemark,/9nAExxKTVYOox0nR9nwtIkVEKN7.jpg,16850.0,1.885579,"world war ii,saboteur,resistance fighter",23.0,5.8,Anthony Mann,5155.0,Approved,6.0,4.0,1965.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
995,"[36, 18, 10752]",Macbeth,/417tcPgyz8oatgp1WE0SZZ4Odgl.jpg,225728.0,2.154501,"scotland,shakespeare,medieval",358.0,6.4,Justin Kurzel,40942.0,15,26.0,10.0,2015.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3342,"[10752, 12, 18, 10749]",The Horseman on the Roof,/uT9rty5z1lyI7C0ScwS7XPX0pZX.jpg,11876.0,1.508863,"italian,new love,provence,horse,exile",22.0,6.5,Jean-Paul Rappeneau,4988.0,15,7.0,2.0,1995.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
533,"[10752, 36, 28, 12, 18, 10749]",Alexander,/cJrnmbsFm5cEt0pHZZ2a1ueH5aT.jpg,1966.0,2.85196,"aristotle,gay kiss,egypt,greece,persia,elephant,campaign,alexander the great,homosexuality,gay romance,ancient world",686.0,5.6,Oliver Stone,143382.0,R,64.0,39.0,2004.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3342,"[10752, 12, 18, 10749]",The Horseman on the Roof,/uT9rty5z1lyI7C0ScwS7XPX0pZX.jpg,11876.0,1.508863,"italian,new love,provence,horse,exile",22.0,6.5,Jean-Paul Rappeneau,4988.0,15,7.0,2.0,1995.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5004,"[36, 18]",Goodbye Bafana,/bGWqSXOgzuVdMdbPz59nrARPWJe.jpg,1874.0,1.278692,"jail guard,prison cell,south africa,apartheid,nelson mandela,escape,xenophobia",29.0,6.9,Bille August,10501.0,PG-12,3.0,3.0,2007.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5055,"[10752, 18, 53, 80, 28]",Who'll Stop the Rain,/AexCYBIfZnPonWBwKREoauPzXEm.jpg,31941.0,1.273824,"vietnam veteran,based on novel,heroin,vietnam,vietnam war,chase,drug smuggling,drug trade,machine gun",8.0,5.9,Karel Reisz,1908.0,R,3.0,2.0,1978.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1378,"[10752, 18, 36, 28]",The Monuments Men,/buKyrMjMaK78uFdZAbp5Wg3Eveq.jpg,152760.0,2.003194,"world war ii,nazis,art theft,post world war ii",1268.0,5.8,George Clooney,107183.0,12A,38.0,43.0,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
