id,imdb_id
49255,0887304
33320,0291350
416513,
13924,0086855
11444,0243493
35705,0090944
10477,0132245
704,0058182
17997,0494206
329556,2186848
17606,0974613
450156,
91745,1645131
11831,0118607
10740,0337876
9903,0462338
17172,0096022
28691,0073017
332704,2784936
26940,0038777
450422,5957600
133458,1556243
19503,0109683
11379,0086856
250219,3438354
354285,4827986
50507,0101864
64291,0053242
288418,
18129,0099703
33157,0066549
28918,0167872
11053,0073541
429976,6284544
10911,0054953
21311,0167203
32761,0098327
188166,2359024
26371,0093512
22021,0069897
449863,6601954
351809,3655414
254263,3559422
16070,0493459
51619,0044446
11598,0076257
11002,0087365
233639,2356464
13945,0084749
10584,0092954
13132,0299458
39108,0142243
15162,0167758
64230,0481459
7452,0097108
324308,4425064
10402,0205000
43896,0026529
433950,6078842
336455,2597892
451098,5966264
323262,4419364
2860,0065772
11398,0160009
2210,0097257
14435,1179891
9394,0067355
1546,0318761
99770,1597522
450739,
53094,0070904
28881,0105824
14047,0427309
45132,1512235
14002,0103767
21519,0085127
287426,3136112
67346,0098150
4012,0247199
79516,2005363
257785,0491203
28597,0102719
12518,0104438
152737,1322269
339396,1542768
9959,0349467
73377,
9266,0300532
15136,0300620
41474,0068817
72465,1226334
316000,0790770
152780,2404461
8348,0072288
286668,3480556
8016,0039417
450936,
18543,0105251
20391,0064782
320048,3836512
342092,
19606,0085678
58231,1083462
384345,5544700
2383,0095800
15152,0464913
15060,1054487
103626,0118822
145247,2113681
252529,1816608
459,0050974
30583,0100264
662,0056119
13957,0488380
16958,0042208
22215,1179258
73937,1053810
325346,3714720
17819,0097500
12652,0113947
133931,1488181
4997,0335563
153333,1961649
150202,1457765
287170,3500478
10735,0286788
11300,0091983
288585,3335048
31442,0056111
256924,1772288
18198,1201561
25741,0885415
3485,0064338
36728,1481363
325388,4427076
10373,0079766
68559,1010012
18615,0422295
457,0048624
10471,0195945
106758,0166985
9013,0095631
11860,0114319
450508,2126284
13107,1029120
1947,0350261
18971,0100519
17466,0099385
29740,0023042
53174,1700258
11986,0090563
11343,0079844
8276,1068649
9039,0280380
80990,0115735
14565,0984204
9523,0259393
277432,2461132
79628,1698010
192911,3611432
14247,0408196
38809,0165643
32007,1172998
10338,0059797
70608,2005268
15598,0060086
139329,2113822
9721,0417395
145220,2281587
77197,0118499
14439,0144550
16082,0090319
10178,0046816
400605,5481404
9910,0417217
22152,0363780
10497,0104779
10319,0080149
14696,0046478
367147,5173032
14239,0104009
27346,0081114
438081,6461514
284294,3505712
41975,0096336
12150,0098273
80591,1536048
19165,0123950
4974,0354356
366143,5242320
20482,0040636
7548,0375920
9918,0385726
10214,0362165
20618,1319733
20914,0072637
10733,0318974
18164,0417385
13766,0091993
25628,0080846
42196,0048977
44718,1194263
20172,0258970
22527,0051207
209403,2170299
64956,1790736
440857,6488738
48415,1529235
55692,1791596
432937,
18839,1024215
10452,0110963
264420,2668800
16873,0858486
433726,
9320,0118661
444135,4974254
399894,3007132
12622,0098360
14530,0415489
5967,0058450
13090,0862846
78383,1913166
28384,0104466
10407,0104452
37725,0482527
20713,0097334
9839,0294357
261470,3230668
57331,1322333
218425,2414766
16007,0758742
10283,0097388
27362,0092929
25934,0062376
10085,0453533
1871,0058089
12613,0114563
20333,0110307
11562,0097123
447670,5923788
31654,0073760
27598,0079087
348677,4074364
33728,0056903
75525,0058740
653,0013442
48601,0284970
443711,5254886
176177,0215230
35002,0066561
17436,0865554
244260,3125220
8940,1032821
40095,0094961
121879,1226240
15366,0416471
1944,0348593
30806,0323531
25318,0092978
26036,0049010
6723,0100514
3107,0063172
9582,0295289
9656,0454082
11649,0093507
121514,0110528
12543,0414931
428753,5313922
27181,0239381
269100,3214002
11571,0052948
31680,1135983
43935,1013860
327833,1641841
196032,2427502
15170,0118787
11801,0783767
25413,0037330
11081,0364045
30144,1176731
11309,0099740
27461,0097336
31995,0031505
14059,1079448
38843,0493949
8512,0112857
791,0432291
1687,0067065
12771,0261289
18666,0075439
57361,1230385
20697,0217756
272435,2788556
21791,0397401
294562,4060576
298582,3977462
301372,1544608
35685,0082640
407375,5090828
10790,0475937
8780,0871426
27352,0094792
6529,0045883
39105,0142238
409583,2660118
126323,1928337
41201,0775489
10832,0465203
48336,0113718
254474,2784512
9011,0183678
28609,0142235
277934,3477480
13851,1117563
85621,2051941
260557,
168399,2369205
32275,0038499
10429,0159784
41473,0451751
56555,0808348
85872,1911553
336313,2141773
15244,0049902
5558,0071487
1040,0057091
5898,0099173
10886,0494271
309887,3525346
143307,0285594
10856,0220580
376440,5323640
245846,2325977
280558,1202014
214758,2419986
24621,0323572
11959,0098546
78433,0483268
9259,0321436
175168,2271565
13925,0091455
14553,0117737
12539,0058692
284537,2788716
302429,4191054
2462,0064425
451086,
287947,0448115
20609,1056026
20529,1172203
1786,0092593
370665,4535650
13060,0945571
30707,0086355
10937,0092618
362058,4685554
51794,1686039
6916,0069697
53172,1220888
65296,0197569
13166,0240515
19059,0379240
32998,0107664
87428,1232200
2056,0340377
297961,3831810
26738,1234550
394161,5114984
9950,0419749
32219,0823333
13495,0395119
77462,1987018
13989,0813980
451429,
39141,0271219
30815,0102469
380088,4529524
10890,0083131
9456,0132910
17443,0078718
26483,0058953
17744,0058962
326094,4144190
307,0038890
16456,0353324
31451,0840322
12121,0107478
16240,0910847
20048,1093908
15588,1167660
17813,0318283
388043,
408537,4562518
272878,3369806
16441,0083630
17801,0032701
10546,0115986
60540,1606339
31962,0105391
34723,0106223
27899,0021079
11466,0323998
8424,0364517
18710,0072761
10116,0475723
318279,2545428
2370,0065112
200713,2853614
24341,0092906
10326,0104291
168676,2555426
351460,1241317
377897,5042436
253849,1418754
12187,0107091
102207,1723642
294,0089015
11429,0222812
11519,0078723
338676,3467412
424785,5090564
361403,3863870
10654,0079261
14538,0882978
91739,2094064
78570,1821680
65060,1912518
422615,5461956
14745,1045655
361854,1726252
127864,1854513
54602,1312254
440460,5649480
209249,2234261
11286,0082136
12834,1151359
407201,4467194
4960,0383028
18882,0290747
1436,0275083
289727,2509850
36970,0765128
38626,1219817
19403,0068931
248,0055312
41382,0979434
39413,1455151
25988,0242888
9423,0120458
395925,4146622
9672,0420609
2436,0106761
399019,5592248
10859,0094025
428045,6218010
26588,1285010
16279,0460810
301729,3399896
7944,0893382
297797,4120636
336890,2417712
207936,2338424
9400,0117603
11471,0092263
11004,0185014
27118,0031448
17091,0058926
26817,0058580
10033,0433400
31439,0110081
11178,0293715
13509,0093560
12488,0119196
250895,3338434
13549,0074258
379019,4299300
337677,3882000
321757,4283414
13260,0839980
14400,0808339
15192,0252480
26638,0058003
322518,3496372
1812,0162710
13006,0105459
340487,4468634
18305,0094357
10461,0208988
18221,0290296
5923,0060934
345468,4255110
68822,0043386
56832,1525835
259963,2624412
106938,1720619
57243,1805297
24973,0046949
9827,0119891
18633,0499570
27646,1268809
371718,4767274
10427,0105226
287954,3506492
41817,0099750
58156,1483753
19105,1361558
66537,0099406
23210,0108149
10470,0304931
38792,0064688
373571,3741700
350849,2734566
339145,2980554
446428,5344876
34774,0056095
428658,5996836
19905,1092633
373072,5278506
9625,0116421
34766,0186726
41407,0082114
19143,0104107
343240,0141516
15035,0085542
21296,0044789
8090,0880578
81218,0114655
22066,0496350
36115,0997263
262743,0287604
17421,0093066
376575,2948530
17729,0047030
12780,0108148
11472,0113986
437440,
179267,2783020
27769,0102960
269242,3307774
31906,0066819
8208,0025452
250538,2652092
335003,4177498
37565,1210106
3426,0068441
400552,5584176
10396,0096244
188598,2901736
21052,0304328
266353,3347518
10339,0049513
10288,0457572
9766,0421206
68883,0093258
