id,imdb_id
182415,2447934
11777,0110099
346049,1959372
14979,1112782
20714,0488478
239566,2473602
185086,0225465
365620,3758542
12708,0056575
13354,1097636
301846,2393827
13103,0172467
10026,0447999
26877,0109412
11543,0116778
12713,0463486
28327,0093043
2453,0102005
11235,0085859
425895,
31000,0106266
7857,0071129
18395,0109758
2160,0055608
26196,0069890
25630,0790769
14175,0361089
13991,0844671
76451,1753887
10759,0790804
33278,0090917
1770,0117039
347642,4264426
109453,2395339
14138,0816436
36597,1238834
13072,0283503
244539,1969062
4789,0065777
32110,0051453
36576,0085384
11298,0082533
897,0048956
380762,4379800
30431,0974014
252680,3014666
16888,0213790
8291,0107840
692,0069089
19004,0113596
279973,3034594
9813,0414951
2525,0060164
9986,0413895
12261,0427038
42951,0163030
71677,1436568
18519,0119152
33521,0079073
4967,0171433
352342,4283358
46302,0466766
359940,5027774
292014,3477554
59566,0029660
3686,0058751
10261,0103016
11893,0089941
9611,0120032
18509,0094824
67748,1680114
9048,0102932
16911,0972558
88517,0211413
31004,0097880
450836,5749956
178682,2448374
42694,0063803
67740,0082813
11082,0096073
14903,0119918
329819,3791302
416149,4616250
31022,0159241
157351,1838520
2075,0089841
28043,0057603
18147,0488658
21950,0074706
348630,4658324
13666,0034398
12577,0282552
148265,2258337
9628,0061197
45890,1465102
6589,0467110
18862,0116571
15314,0425253
43350,0046000
382883,4627352
56590,1699114
408509,4746516
290999,2535470
75209,0414762
48492,1123373
19277,0339135
74345,0435517
50848,1646974
150744,0427868
446369,6748042
220746,0878814
396952,0405458
1937,0051429
339994,2262315
28134,0120823
19625,0374887
277688,3279176
13941,0815138
10219,0120834
17740,1032819
309581,3442990
277399,3481210
10208,0158811
40509,0108596
307103,3433632
448444,5233558
71864,1462769
375867,4429194
127372,2103264
437600,5087548
167733,1727885
12109,0388139
66164,1614456
49004,1422800
270842,3861006
23530,1229821
30432,1258120
8883,0920458
9391,0375735
244783,2182972
22572,0093171
408299,5766118
58664,1052024
11791,0052905
429199,5222918
42739,0141974
152748,2388637
15916,0208502
2117,0426578
886,0059037
10991,0235679
289716,2420166
10799,0402158
257444,2443822
419566,6101862
10104,0458438
11068,0105415
217919,3112900
14577,0120654
24461,0348505
15660,0082766
9536,0115683
48303,1020773
451572,6285552
15865,1039652
12182,0981227
406429,5481184
18976,0259127
778,0046487
11533,0057197
2080,0458525
65096,0398037
328845,4141788
36786,0049949
7860,1172963
33436,0064146
44132,0072752
40213,0105859
10994,0283139
24634,0082449
14778,0253200
10913,0342272
412093,5917958
45162,1673430
431072,5267472
18387,0077235
185701,0287974
36344,0115493
18881,0246734
75559,
41128,0108169
18637,0313966
267,0118819
18011,0209095
8386,0278488
11041,0106400
259018,2314824
16804,1069238
27214,0085159
234212,1841642
28029,0120613
451259,4841808
28966,0018578
291692,4019426
38925,0071772
39435,0051496
32049,0106393
1803,0086896
43263,1315216
19200,0105378
17360,0083284
15158,0095863
14540,1143143
175291,2389182
51241,1600524
353614,2378830
42328,0046808
14872,0463953
23761,0076150
84204,1525366
141102,1984279
28120,0039286
25645,0111800
284286,3062976
82650,2023453
14709,0139699
144340,1814621
7093,0190861
347033,3958780
326241,4157510
253980,3438640
21398,1220213
71254,1117581
47518,1017464
212606,2353767
20483,0337917
12699,0354623
18276,0453494
47354,0328007
9424,0134619
146223,2218003
269173,2962726
134764,2370792
67884,1705786
413548,5785116
10383,0160484
24271,1107860
351037,2586118
300666,2950052
10869,0071607
19552,0107617
77010,0084357
27004,1106860
9605,0105414
9651,0088206
5625,0064618
11133,0091778
37828,1640680
217993,3060952
10640,0074559
8269,0479519
13775,0434541
449777,6180274
394759,3746824
134673,2150332
92472,1841611
9089,0113321
10260,0088002
15256,0137338
13440,0270707
45745,1727587
187513,0268229
11449,0078767
9692,0361127
2487,0158714
67120,0110456
13162,0454084
1990,0842929
9957,0437863
273153,4080768
11065,0184791
62564,1650407
341200,3622178
74788,0051906
222216,2118775
9682,0454919
8214,0116752
3087,0035575
32250,0330500
55873,0039011
258322,3425034
11453,0367652
356901,3352034
28270,0060445
19103,0450972
24191,1202541
17824,0089839
253450,3508840
392140,4787478
1775,0109370
390353,4490762
23479,0074174
13185,0435680
28655,0124074
11779,0186508
52264,1673702
402331,5241578
164372,2243621
375012,4273292
435783,
31967,1401113
40168,0096046
136735,1774358
15582,0094118
233315,
24554,0378230
14637,1073241
11531,0229260
10868,0094608
343934,3137764
1116,0460989
334531,3719896
432091,
27723,0206226
10502,0107501
342281,3811986
32916,1599351
204261,2956300
387426,3967856
7300,0117247
11928,0964185
11937,0097443
323372,4441280
2610,0338427
2274,0484562
27303,0113303
113947,1866249
414937,5017060
26278,0050873
1699,0312358
18826,0814331
246699,2951788
139,0164756
238490,2554070
200399,
11123,0071455
103740,2258281
15421,0057877
1919,0491747
258193,2510434
43818,0032943
286873,2290553
5767,0062407
78133,0107130
20077,0472219
363579,5666058
33642,0061758
19171,0045205
10917,0100797
323373,3705412
21138,0817307
76190,0186506
22828,0102048
25852,1151915
45966,0042384
121828,1724962
415913,6080914
24589,1537759
361042,4472596
46689,1268204
209247,2172985
31911,0107613
17133,0119305
214093,3103576
26881,0095368
11614,0083675
24556,0424228
10436,0106226
32450,0103872
3074,0034786
209361,1196956
5717,0464105
44895,0204350
3547,0062185
1896,0445691
28173,0096310
184125,2368553
48740,1675852
12889,1054485
309425,4056738
30018,1216496
52943,0065513
35549,0187044
3293,0168122
8088,0913425
227585,2547622
28466,0086397
199420,1741243
33638,0068853
246400,2920540
17456,0896036
47570,0064624
26149,0166943
24804,1190536
253343,2927212
340442,3531202
86,0430051
12647,0101453
374416,5290524
417830,6003368
405775,4218696
26963,0485601
12172,1093824
361777,1713440
10535,0117723
441614,5479616
17768,0060438
46227,0117794
16907,0476680
33602,1278469
27191,0044672
11802,0482603
14141,0787470
359871,5111874
12501,0051411
46020,1619880
1059,0051808
208210,0208871
12089,0068655
48938,0260932
266639,3614530
27033,0038988
40044,0032007
10389,0325655
10295,0089591
14832,0106535
10086,0103905
5889,0384819
23111,0087747
17681,0196931
11938,0090852
3763,0058430
50704,0011984
45124,0238295
24293,1054122
4369,0231844
36599,0081383
82080,0093864
347754,3212904
349176,3853452
41477,0143348
45983,0068025
17382,0034277
38084,0097527
18065,1097013
10643,0188640
21159,0058700
28978,0018773
13931,0323250
379040,5281414
17343,0066380
1362,0077687
36885,0069233
16914,0045659
243935,2481480
14390,0250347
32081,0087932
2099,0091828
27391,1272025
17770,0120373
43434,1321865
273693,3140024
30548,0421090
208277,2524674
52256,1139085
3598,0029162
53064,0930902
14349,0888693
330929,0955413
412520,4937564
10337,0101516
82687,1694020
21481,0467421
36492,0066892
94380,1928330
19963,0115658
12689,0963743
11830,0092048
269946,0099254
169854,0054755
227300,2494280
32581,1121986
392795,5182856
303542,3078296
339927,4669186
3033,0120684
315872,3013610
16404,0278351
374856,4954660
19119,0042788
66120,1605769
211067,2383068
17821,0115985
18828,0238948
51447,1521848
16314,0103596
271185,2505294
48737,0448154
3513,0126388
283596,2552394
330171,3735602
12224,0233044
22627,0105191
36272,0377100
341744,3754940
87440,1791614
14258,0353014
203264,2088869
5259,1032856
10718,0329691
32037,0074292
161782,2381962
405815,4357714
325373,4412528
345874,3353060
60072,1107377
28032,0111419
265169,2758880
46878,0078350
382220,5735464
26011,0093146
58129,0012364
11508,0146402
433278,6274158
28529,0111244
30368,0041699
62008,1885265
13252,0896798
321621,4076980
78571,0455323
139519,1929308
31650,0094008
70009,1738387
33454,0045125
18887,0052722
35402,1261862
12220,0160916
108,0108394
26978,0086346
12502,0086312
18670,0110054
9096,0104839
388440,4118606
25284,0110308
35123,0039080
76543,1204340
158914,1951216
28162,0038733
352504,4882548
15124,0420740
19877,0142371
362703,4076760
31273,0128378
40478,0048973
29111,0067950
333112,3711622
16379,0120757
12677,0473333
1285,0444505
59317,0304676
58149,0029257
36677,0091981
170125,2387806
331443,4524234
12778,0109936
7182,0428251
173483,1034048
450481,
148284,1305797
412471,4951834
248774,2910274
57749,1345772
47898,0104376
60175,0081541
61537,1697851
411625,5775220
22301,0020960
16318,0341555
192133,2402085
327528,2133196
9826,0117331
10004,0129871
75130,0066900
4972,0342492
9609,0105046
25789,0186804
42717,0060865
10952,0102526
104859,1870425
9005,0400525
2263,0100211
73565,1570559
302026,2504640
270302,2717860
10067,0393735
244830,2136956
10107,0476995
45218,0043972
294171,
16153,0071115
308447,2948202
301959,4172224
17631,1277728
12276,0235060
276844,2785032
448448,6714534
23941,0217355
52454,1705773
58412,0100967
13815,0109842
12695,0086366
43461,0039677
60422,1719071
12500,0088708
356334,2724532
78381,1756851
378779,3910804
11712,0056443
249660,2528814
314462,3176134
57874,0428134
11842,0067770
10476,0410097
10368,0120857
449390,
8327,0071615
286548,3462696
37108,0113538
26693,1422675
98545,1649780
308084,3824458
413279,6016776
19079,1034325
64972,0416891
363810,5045592
1938,0044357
266,0057345
440775,6188002
6609,0074740
13927,0096273
13493,0997047
10056,0048254
9930,0091396
30502,0094744
47397,0069718
18925,0805526
20115,0093677
13258,0845046
103122,0082904
5205,0076578
279828,1698647
8414,0480269
16806,0087507
6007,0279064
308152,2820008
34902,0387151
15927,0087892
9965,0423505
20676,0104073
9713,0120701
352025,1918911
443484,6687748
450494,6679242
86493,0071161
17379,0408985
9499,0306734
5636,0056452
329004,2580382
2699,0115392
24016,0100594
16269,0097244
17897,0071569
32582,1434423
34729,0270560
8222,0103030
55890,1100051
54803,0083628
16167,1063056
2748,0046511
369894,5195412
20558,0480461
16418,1398940
11511,0116756
20873,0062759
13312,0856288
14062,0259822
87825,2083383
4710,0060675
250,0180748
19199,0059958
3478,0068883
415749,5502946
42526,0069007
310568,2994832
2771,0305206
19026,0439123
5458,0196267
3016,0011130
66540,0046695
9534,0395125
11595,0099044
40394,0075163
301825,4008866
423671,5916786
269198,3691446
25699,0074857
11348,0422272
24940,0192111
18974,0053882
10447,0110678
10130,0095243
60041,0094317
9090,0114682
324333,4442130
382572,4623812
10390,0126916
6436,0117729
75173,0094521
179058,2304662
380565,5351000
22643,0329374
12524,0120866
33796,0100196
296313,3877674
38742,0013025
28761,0100928
5769,0057590
14052,0088000
19176,0109493
12770,0265808
54551,1814643
362202,3297382
290864,2952602
143873,0254835
21622,0036723
2644,0084955
87503,0064494
416445,3401174
8223,0107315
169020,2293138
99494,1692098
127,0084549
13194,0465657
67359,0097252
2830,0270980
1816,0088915
13776,0083833
19576,0814243
19576,0814243
40683,0043887
56927,0123381
364067,4537842
451608,5090234
32590,0240402
314946,4544278
242661,3019694
15414,0433405
7015,0103670
47320,1315350
55912,0138590
5721,0063787
24951,0098115
51249,1300155
346469,3914324
83201,2268617
13007,0815241
321030,3662066
11569,0104409
433244,5577742
20443,0095409
1945,0110638
63749,1684927
180314,1596753
9395,0094602
446483,6456614
335970,4126340
38961,1486190
11822,0093608
40084,0083710
14510,0091083
26593,0066301
18530,1034302
426558,5156746
15088,1110626
26936,0098967
170759,2194599
398929,5657028
42529,0067958
19065,0102729
24958,0067823
41360,1270291
82867,0092157
16028,0283632
220882,1273221
278468,0888817
15641,1204979
410123,4919066
91551,1384927
296917,4219130
10596,0238552
15300,0104990
9749,0089155
10990,0117107
1873,0112495
11418,0089670
47475,0117102
39414,0437405
58446,1581835
347035,1227183
344,0135790
281418,2497980
364615,4213806
10879,0110093
449253,6175670
14839,0077248
6644,0061619
442,0314524
15251,0085474
238589,2395199
29396,0058620
218784,1817771
305638,3022458
531,0108598
74536,1535612
218277,0871425
784,0116790
37714,1198153
10847,0100054
3089,0040724
48624,0108461
118279,2183302
28055,0058567
38582,0071565
276496,2192016
80714,1954464
27405,0053717
403368,3424690
40085,0051878
32646,0114323
75556,1948581
11316,0067372
147576,1147509
1269,0446009
14411,0165982
19587,0783515
15567,0348124
10124,0485774
259872,1852099
64320,1576440
21972,0308506
438347,6009140
131656,0322991
68335,0865560
250658,3268458
43956,1722638
23966,0896534
28117,0101701
4477,0118972
10008,0429573
245700,2473794
15247,0059319
444069,5787290
86508,0074548
6470,0099575
9017,0892899
73936,1410051
33997,1054580
24767,0110157
98548,1716777
27735,0857275
381693,5513770
60592,1699491
21786,0808276
54518,1702443
14073,0449994
8216,0097858
114750,2235108
42692,0061620
14980,0259153
4701,0052270
31633,0102411
39545,1179794
320678,3654680
96973,1393742
257345,1878841
1554,0090967
28424,0896031
159024,1509788
17774,0298296
41245,0247613
8992,0090103
360387,3520290
9317,0083109
43323,0049674
191820,2401715
8874,0119738
2074,0116324
339148,3700804
31002,0196158
398920,5256722
16394,0384696
35680,0123987
448337,5576318
36355,0116322
19064,0089730
18818,0072157
51736,1409004
36834,0114702
74545,0031891
10306,0095889
373546,1610525
43804,0034384
288923,3449608
393729,4730986
10804,0102216
15044,0995036
13121,0780622
80188,1456060
55156,0110201
68818,1629705
430951,5163494
401609,3799092
10691,0250224
72286,1051905
413843,3142468
278334,3663040
8779,0047930
26748,0116905
363689,4229298
21864,1331335
1879,0061735
21141,0458480
361292,1034415
73939,1233334
37746,1331323
17362,0097790
15809,1300853
16158,0161100
1976,0030287
352498,4262174
38950,0095296
2820,0451035
13688,0940709
26612,0100813
289416,3068192
18990,0053085
104755,1731697
339669,3700456
34061,1512897
86666,0058409
18131,1186788
19588,0301214
10715,0318155
19666,0169102
221731,3029558
378932,4963830
41003,0103251
50247,0043313
54897,1544600
39323,0142245
381283,5109784
57993,0049523
7500,0108188
32629,0113757
39452,1587707
392817,4874206
402100,4182064
53165,0105534
17043,0305396
95547,1733732
10858,0113987
36939,1134664
403572,
11457,0264796
2331,0199232
53150,0097001
57825,0361411
9446,0119432
26291,0102898
44548,1152403
245473,2762970
14924,0091954
306964,4163020
2360,0195234
337958,3680410
30636,0079495
111995,0400535
9431,0117826
9555,0252444
118451,2390253
80034,1679180
44251,0142239
66046,1597178
14040,0088707
34233,0040076
398881,0304694
11342,0098622
10905,0089543
355086,
19158,0099697
80410,1767319
22183,0058909
444341,6467284
25961,1226251
26,0352994
447957,5885106
21647,1556214
23383,0040416
280617,3892384
38027,0073349
14677,0052993
11338,0089346
124157,2330866
52131,0782042
264159,0064219
32652,0024368
284279,3102440
218381,2823574
108726,2104837
318,0120753
23404,1210801
349158,4450396
424488,4899370
1782,0940580
11851,0095897
113182,1538328
64789,1147517
4244,0219854
359093,4875844
24137,0122541
6058,0120786
200236,0067004
160085,1978524
9041,0086655
187383,0301744
36123,1020876
10612,0112966
376869,5286444
273881,3744464
221791,3106464
5552,0314063
353066,1291566
11099,0364343
17918,0084745
24943,0066063
72214,0050987
439123,5674368
283726,3184934
119569,2247732
414028,5974944
34750,0110948
94352,1792647
255476,2910342
39999,0099368
371447,4305148
15257,
22681,1135500
13441,0299117
369698,5157456
16993,0068575
34181,0058138
17186,0403016
20778,0054821
30054,0051087
13490,0494652
17247,0387055
47634,0080479
13061,1134859
13950,0278295
79073,1072754
11899,0087755
289143,4731504
20932,0058374
9938,0292634
12912,0460745
251749,3341084
25688,0040695
13972,0430770
346650,2962984
25684,0106257
9517,0242193
9838,0089421
84281,2063666
16205,0816539
36940,1467273
32050,0071229
32567,0264578
9786,0364955
42149,0082497
18126,1114677
180718,2224327
316873,3737650
347689,0837156
13204,0817910
34193,0077889
279254,4016942
37080,1121977
10563,0144640
23333,0110588
3026,0053348
345674,3824950
412194,5955112
122995,0079360
259545,0250392
451648,0181577
59115,1699231
30830,0076015
127846,2216240
31516,0041716
15907,0361715
9644,0107659
59968,1637706
359344,4384088
305276,2724236
28422,1128075
32526,0324013
22076,0327409
70950,0059675
334394,4935418
393765,4978274
299969,4128102
20408,0039017
2086,0113972
303483,3289126
9666,0367913
11930,0391774
42040,0089420
11798,0480025
11701,0409043
70584,1716747
14057,0427968
274862,3014284
91342,2197823
75195,1077076
369835,6656734
313074,3622332
43361,0044000
431803,
388468,5195390
22752,0034091
364060,4835894
24924,0093624
167395,1528073
9699,0084814
429662,4977530
451697,4854820
449060,6659116
21705,0795338
7517,0432318
370172,2382320
80125,1802810
352179,3661298
31805,0035262
393717,4428728
203834,2300975
8766,0116514
191714,2350496
129850,2106741
24164,0377569
23942,0084469
6883,0075359
14653,0381270
10475,0417658
32084,1483831
219318,2207072
21309,0091860
18111,0099180
11340,0082045
57267,0064929
356183,4695442
40697,
15166,0438052
4613,0286947
6183,0405743
356186,3644730
45650,1085779
21539,0117372
376812,4832640
41843,0117791
448446,6495526
433810,6306178
4255,0065904
5991,0015064
116291,0050473
13702,0365125
21189,0308514
618,0004972
11144,0077864
26661,0047795
260234,3565904
382597,5736696
77221,1701210
410348,4196832
27932,0071110
14675,0028597
10466,0091541
362478,2654572
425860,6259890
12223,0073747
19311,0790799
24188,0056512
939,0018037
52001,1641975
361263,4505830
822,0051792
21200,0363532
72525,0762138
177552,1817276
407518,4082524
38996,0068457
42968,0371853
382593,5833730
20825,0762105
25749,0109415
392681,5227140
44446,0061357
10763,0205271
103269,2224455
15347,0060182
213559,0097933
17126,0096037
16435,0243575
28313,0113691
395732,0110896
25682,0096804
450637,
65650,1582271
56217,0118811
9927,0267891
12710,0094739
92647,1588342
4985,0071771
2189,0090184
257955,1857868
45335,0061595
24004,0045317
38629,0078836
315669,4076934
21252,0119792
363111,4670016
4479,0077936
7233,0376108
29193,0120176
38765,0065547
9805,0349047
264001,3351004
22590,0105402
302666,3488056
364324,4819498
40001,0117104
25625,0067454
61496,0097639
300302,3098812
110402,2328813
269955,3303730
328480,3881700
268895,1083849
27841,0067848
222899,1826590
411736,5973626
19724,0780567
10916,0146455
26204,0062380
255160,2800340
18282,0091680
9547,0057380
150241,0093494
15378,0427998
89899,2087850
57789,0106763
8942,1152850
72431,0485985
408567,5752356
9026,0278500
51731,0104771
10631,0086873
13127,0478024
290134,0147353
5544,0052893
445068,6512632
308160,3220192
59118,1726861
19599,1169809
37234,1393020
52369,1336601
204897,0083239
50723,1703048
273621,3461828
424649,5747412
16303,0059410
28308,0201485
21250,0355315
42668,0048937
13173,0811106
360055,4642044
85489,0795405
17496,0081696
13799,0115952
36261,0070684
10824,0112625
418588,5742568
30178,0472602
443014,4611314
17403,0319524
42619,0065079
45491,0105287
13516,0850669
16998,0428856
39176,0080402
17660,0031235
7290,0157262
352205,3043252
18835,0086143
34898,0425094
9101,0116130
572,0453383
25320,0280754
11392,0075002
5486,0067656
67297,0158030
21775,0447619
16140,0810827
5856,0091221
11890,0102603
15824,0328844
24486,0095388
26286,0038492
137548,1946347
448456,6627682
25014,0216799
76544,2016940
24351,0783518
17618,1228933
52721,0066950
432602,6322922
38189,0285104
344906,4743562
32517,0105385
14459,0800367
33427,1587414
3469,0061648
27902,0409011
11420,0379225
351901,3957956
450103,4851270
49370,0089798
10235,0029850
110556,2279083
251852,2396721
19593,0099387
5126,0415965
75229,1595833
26141,0106873
282070,3345474
31896,1185242
24405,0109403
308409,3082854
22309,0191133
397003,3187378
26602,0234829
14811,0067093
74016,1303902
13752,1029235
35987,0048308
27459,0067350
13913,0020640
90994,0098418
28410,0090213
82631,1870529
76535,2011109
18928,0062825
318040,3904272
19400,0087903
400547,4007248
358895,4630444
18631,0103805
7974,0098532
21501,0772176
11834,0076221
14787,0303151
50435,0075753
361069,5022872
6646,0043067
91875,0085763
50698,1703199
70342,1613023
32041,0056062
39074,0092627
24742,0089981
22244,0098354
10597,0205177
353571,1639084
156708,2312890
254205,0473911
48773,0076709
71179,1942120
28967,0131636
411268,5896962
178446,1883092
10705,0097499
2405,0113483
37698,0031867
431071,6086080
107569,0095613
26398,0074157
31378,0049710
42454,0072368
10264,0099726
30483,0097069
10572,0307156
25147,0116722
413452,3230660
11402,0046766
42246,0487176
367206,5269396
448949,
45272,1555064
10615,0258038
392572,5165344
11012,0104237
370800,6495714
11372,0074452
13528,0036855
40619,1620446
68109,0094065
85807,2095019
338544,4572820
27759,0056800
391486,3027716
5722,0065466
14443,0093072
378064,5323662
145225,1223947
40218,0071200
322548,3014078
30618,1181795
379149,1615160
58760,0915463
6016,0281820
28940,0083869
59500,0416871
283686,2872724
232736,
14424,0497972
8854,0120207
383807,5096536
253935,0160245
334878,4466936
437425,6445396
241375,3552642
